metric_id,dataset,official_source_url,source_file,source_sheet,source_cell_row_1_based,source_cell_col_1_based,population,sex,jurisdiction,period,reference_period,experience_window,indicator,value_percent,rse_percent,reliability_flag,unit,notes
Table_3.1_r16_c2_Females_Australia_1996,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,2,Persons aged 18 years and over,Females,Australia,1996,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,5.9,5.4,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c3_Females_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,3,Persons aged 18 years and over,Females,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,4.7,5.2,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c4_Females_Australia_2012,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,4,Persons aged 18 years and over,Females,Australia,2012,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,4.6,6.0,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c5_Females_Australia_2016,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,5,Persons aged 18 years and over,Females,Australia,2016,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,3.5,5.9,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c6_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,6,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,2.9,8.8,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c7_Males_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,7,Persons aged 18 years and over,Males,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,10.4,6.1,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c8_Males_Australia_2012,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,8,Persons aged 18 years and over,Males,Australia,2012,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,8.5,7.5,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c9_Males_Australia_2016,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,9,Persons aged 18 years and over,Males,Australia,2016,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,5.4,7.0,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r16_c10_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,16,10,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,6.1,16.0,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c2_Females_Australia_1996,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,2,Persons aged 18 years and over,Females,Australia,1996,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,7.1,5.4,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
